Id,Municipality,Place,Latitude,Longitude
309,Klippan,Tranarp,56.1761111111111,13.0075
310,Klippan,Östra Ljungby,56.2036111111111,13.1194444444444
311,Kristianstad,Arkelstorp,56.1733333333333,14.2847222222222
312,Kristianstad,Balsby,56.0758333333333,14.2138888888889
313,Kristianstad,Barum,56.1169444444444,14.3658333333333
314,Kristianstad,Bjärlöv,56.1183333333333,14.085
315,Kristianstad,Bjärnhult,55.95,13.7811111111111
316,Kristianstad,Bäckaskog,56.045,14.3338888888889
317,Kristianstad,Degeberga,55.8263888888889,14.0836111111111
318,Kristianstad,Djurröd,55.9963888888889,13.8844444444444
319,Kristianstad,Ekestad,56.1308333333333,14.2497222222222
320,Kristianstad,Everöd,55.9005555555556,14.0969444444444
321,Kristianstad,Fjälkestad,56.1086111111111,14.1694444444444
322,Kristianstad,Fjälkinge ,56.0388888888889,14.2972222222222
323,Kristianstad,Fjäringsgården,56.1805555555556,14.2683333333333
324,Kristianstad,Flackarp och Österslövshus,56.1158333333333,14.2655555555556
325,Kristianstad,Furuboda,55.84,14.2191666666667
326,Kristianstad,Färlöv,56.0725,14.0880555555556
327,Kristianstad,Fårabäck,55.9638888888889,14.3511111111111
328,Kristianstad,Gringelstad,55.9372222222222,14.1133333333333
329,Kristianstad,Gälltofta,55.9836111111111,14.3105555555556
330,Kristianstad,Gärds Köpinge,55.9377777777778,14.1561111111111
331,Kristianstad,Göinge Fridhem,56.0833333333333,13.9825
